Date,open_date,Expiry_Date,Open_Price,Current_Price,previous_highest,current_highest,trade_id,parent_id,initial_lots,active_lots,status,RF,HF,TSL,sum_hh_ll,is_crossover
2005-03-03,2005-03-03,2005-05-26,2128.85,2128.85,2128.85,2128.85,17,2.0,2.0,2.0,Open,6.43,0.0,1937.25,0,False
2005-03-03,2005-03-03,2005-05-26,2128.85,2128.85,2128.85,2128.85,18,1.0,2.0,2.0,Open,5.89,0.0,1937.25,0,False
2005-03-04,2005-01-27,2005-04-28,1955.0,2148.15,2128.85,2148.15,1,,10.0,1.0,Open,4.95,73.71,2105.19,9,False
2005-03-04,2005-01-31,2005-04-28,2057.6,2148.15,2128.85,2148.15,2,1.0,2.0,1.0,Open,5.69,81.0,2126.67,9,False
2005-03-04,2005-02-01,2005-04-28,2059.85,2148.15,2128.85,2148.15,3,1.0,2.0,1.0,Open,5.76,72.05,2105.19,8,False
2005-03-04,2005-02-03,2005-04-28,2079.45,2148.15,2128.85,2148.15,4,1.0,2.0,1.0,Open,5.89,71.97,2105.19,8,True
2005-03-04,2005-02-11,2005-04-28,2082.05,2148.15,2128.85,2148.15,5,1.0,3.0,1.0,Open,6.51,71.97,2105.19,8,True
2005-03-04,2005-02-14,2005-04-28,2098.25,2148.15,2128.85,2148.15,6,1.0,2.0,1.0,Open,6.78,71.99,2105.19,8,True
2005-03-04,2005-02-14,2005-04-28,2098.25,2148.15,2128.85,2148.15,7,1.0,6.0,1.0,Open,6.78,71.99,2105.19,8,True
2005-03-04,2005-02-28,2005-05-26,2103.25,2148.15,2128.85,2148.15,8,1.0,3.0,3.0,Open,5.69,17.89,1976.3,3,False
2005-03-04,2005-02-28,2005-05-26,2103.25,2148.15,2128.85,2148.15,9,5.0,2.0,2.0,Open,6.21,19.53,1976.3,3,False
2005-03-04,2005-02-28,2005-05-26,2103.25,2148.15,2128.85,2148.15,10,7.0,2.0,2.0,Open,6.21,19.53,1976.3,3,False
2005-03-04,2005-02-28,2005-05-26,2103.25,2148.15,2128.85,2148.15,11,6.0,2.0,2.0,Open,6.21,19.53,1976.3,3,False
